"Date","Description","Comments","Check Number","Amount","Balance"
"06/23/2016","CHASE            EPAY","","","($354.54)","$455.13"
"06/27/2016","PAYPAL           INST XFER","","","($42.41)","$412.72"
"06/27/2016","CUMBERLAND FARMS PREAUTHPMT","Loc: 6974   CUMBERLAND F-5 WAPPI
ELLINGTON       CT","","($44.25)","$368.47"
"06/27/2016","DBT PURCHASE ON 06/27 @ 12:03","NETFLIX.COM
NETFLIX.COM
NETFLIX.COM           CA
CARD NBR: -0115 RECURRING ITEM","","($9.08)","$359.39"
"07/02/2016","ATM WTHDRWL ON 07/02 @ 16:29","AEFCU (AMERICAN EAGLE)
455 HARTFORD TPKE
VERNON                CT
CARD NBR: -0115","","($100.00)","$259.39"
"07/06/2016","PAYPAL           INST XFER","","","($19.98)","$239.41"
"07/07/2016","TICKETNETWORK IN DIRECT DEP","","","$1,160.21","$1,399.62"
"07/08/2016","CHASE            EPAY","","","($479.61)","$920.01"
"07/11/2016","CHASE            EPAY","","","($60.67)","$859.34"
"07/11/2016","CUMBERLAND FARMS PREAUTHPMT","Loc: 8604   CUMBERLAND F-333 TAL
VERNON          CT","","($34.94)","$824.40"
"07/13/2016","CHASE            EPAY","","","($500.00)","$324.40"
"07/20/2016","TICKETNETWORK IN DIRECT DEP","","","$1,160.21","$1,484.61"
"07/20/2016","Transfer NDx972 to ILx174 5447","","","($500.00)","$984.61"
"07/21/2016","CHASE            EPAY","","","($393.08)","$591.53"
"07/22/2016","CUMBERLAND FARMS PREAUTHPMT","Loc: 8604   CUMBERLAND F-333 TAL
VERNON          CT","","($39.44)","$552.09"
"07/26/2016","Transfer NDx972 to SVx670 4465","","","($450.00)","$102.09"
"07/27/2016","DBT PURCHASE ON 07/27 @ 12:14","NETFLIX.COM
NETFLIX.COM
NETFLIX.COM           CA
CARD NBR: -0115 RECURRING ITEM","","($9.08)","$93.01"
"08/03/2016","TICKETNETWORK IN DIRECT DEP","","","$1,160.22","$1,253.23"
"08/04/2016","CHASE            EPAY","","","($325.82)","$927.41"
"08/05/2016","CUMBERLAND FARMS PREAUTHPMT","Loc: 8604   CUMBERLAND F-333 TAL
VERNON          CT","","($37.13)","$890.28"
"08/08/2016","TOYSRUS MC       TRU EPAY","","","($72.31)","$817.97"
"08/09/2016","DEPOSIT","","","$14,414.10","$15,232.07"
"08/16/2016","Transfer NDx972 to SVx670 9521","","","($14,414.10)","$817.97"
"08/17/2016","TICKETNETWORK IN DIRECT DEP","","","$1,160.20","$1,978.17"
"08/17/2016","CUMBERLAND FARMS PREAUTHPMT","Loc: 8604   CUMBERLAND F-333 TAL
VERNON          CT","","($40.47)","$1,937.70"
"08/18/2016","CHASE            EPAY","","","($465.46)","$1,472.24"
"08/19/2016","CHASE            EPAY MOBIL","","","($1,027.81)","$444.43"
"08/22/2016","CHASE            EPAY","","","($51.80)","$392.63"
"08/27/2016","DBT PURCHASE ON 08/27 @ 18:48","NETFLIX.COM
NETFLIX.COM
NETFLIX.COM           CA
CARD NBR: -0115 RECURRING ITEM","","($9.08)","$383.55"
"08/29/2016","PAYPAL           INST XFER","","","($32.00)","$351.55"
"08/30/2016","D-BRAND INC.     IAT PAYPAL","","","($3.95)","$347.60"
"08/31/2016","TICKETNETWORK IN DIRECT DEP","","","$1,160.21","$1,507.81"
"09/01/2016","PAYPAL           INST XFER","","","($5.95)","$1,501.86"
"09/02/2016","CUMBERLAND FARMS PREAUTHPMT","Loc: 8604   CUMBERLAND F-333 TAL
VERNON          CT","","($38.68)","$1,463.18"
"09/02/2016","Transfer SVx670 to NDx972 7645","","","$2,023.00","$3,486.18"
"09/02/2016","ATM TFR WD","1-999-999-9999
SCSU WEB TRANSACTIONS
CARD NBR: -0115","","($2,023.00)","$1,463.18"
"09/02/2016","CHECK NUMBER       1067  100115853","","1067","($700.00)","$763.18"
